index,lat_deg,lon_deg,cumulative_surface_distance_km,cumulative_flight_distance_km,density_kg_m3,temperature_k,pressure_pa
1,59.858600,17.638900,0.000,0.000,0.06972440,213.873,4280.528
2,59.972773,17.586291,13.030,13.073,0.06970915,213.868,4279.501
3,60.086932,17.533304,26.060,26.148,0.06969365,213.863,4278.456
4,60.201077,17.479921,39.092,39.223,0.06967843,213.859,4277.427
5,60.315206,17.426129,52.125,52.300,0.06966333,213.854,4276.401
6,60.429314,17.371911,65.159,65.377,0.06964816,213.849,4275.370
7,60.543402,17.317253,78.193,78.455,0.06963301,213.844,4274.338
8,60.657466,17.262137,91.228,91.534,0.06961772,213.838,4273.295
9,60.771506,17.206548,104.265,104.614,0.06960277,213.833,4272.271
10,60.885517,17.150470,117.301,117.694,0.06958763,213.828,4271.234
11,60.999500,17.093885,130.339,130.775,0.06957267,213.822,4270.207
12,61.113451,17.036776,143.377,143.857,0.06955787,213.817,4269.186
13,61.227369,16.979127,156.416,156.940,0.06954280,213.811,4268.147
14,61.341253,16.920919,169.455,170.023,0.06952813,213.805,4267.133
15,61.455100,16.862135,182.495,183.107,0.06951326,213.799,4266.103
16,61.568908,16.802757,195.536,196.191,0.06949860,213.793,4265.084
17,61.682676,16.742766,208.578,209.276,0.06948387,213.787,4264.059
18,61.796403,16.682144,221.620,222.362,0.06946936,213.781,4263.047
19,61.910085,16.620871,234.663,235.449,0.06945475,213.775,4262.028
20,62.023723,16.558928,247.707,248.537,0.06944017,213.769,4261.008
21,62.137314,16.496295,260.752,261.626,0.06942566,213.762,4259.992
22,62.250857,16.432954,273.798,274.715,0.06941127,213.756,4258.981
23,62.364349,16.368882,286.845,287.806,0.06939696,213.749,4257.973
24,62.477790,16.304060,299.893,300.897,0.06938250,213.743,4256.957
25,62.591179,16.238467,312.942,313.990,0.06936834,213.736,4255.957
26,62.704513,16.172081,325.993,327.085,0.06935409,213.730,4254.950
27,62.817791,16.104881,339.045,340.180,0.06933986,213.723,4253.941
28,62.931012,16.036844,352.099,353.278,0.06932582,213.716,4252.945
29,63.044174,15.967948,365.154,366.377,0.06931186,213.709,4251.953
30,63.157276,15.898171,378.211,379.477,0.06929789,213.702,4250.959
31,63.270317,15.827488,391.270,392.580,0.06928400,213.695,4249.969
32,63.383295,15.755877,404.331,405.685,0.06926983,213.688,4248.960
33,63.496209,15.683314,417.395,418.793,0.06925607,213.681,4247.976
34,63.609058,15.609774,430.461,431.902,0.06924232,213.674,4246.992
35,63.721840,15.535232,443.529,445.015,0.06922870,213.667,4246.015
36,63.834554,15.459662,456.601,458.130,0.06921507,213.660,4245.038
37,63.947199,15.383040,469.676,471.249,0.06920134,213.653,4244.051
38,64.059773,15.305342,482.754,484.370,0.06918778,213.646,4243.076
39,64.172276,15.226559,495.835,497.496,0.06917423,213.638,4242.101
40,64.284708,15.146689,508.920,510.624,0.06916068,213.631,4241.125
41,64.397068,15.065730,522.007,523.756,0.06914739,213.624,4240.165
42,64.509356,14.983682,535.099,536.891,0.06913412,213.616,4239.206
43,64.621572,14.900540,548.193,550.029,0.06912091,213.609,4238.249
44,64.733714,14.816304,561.290,563.170,0.06910758,213.602,4237.285
45,64.845784,14.730971,574.391,576.314,0.06909449,213.594,4236.337
46,64.957779,14.644539,587.494,589.462,0.06908137,213.587,4235.385
47,65.069701,14.557006,600.601,602.612,0.06906822,213.579,4234.431
48,65.181548,14.468370,613.711,615.766,0.06905522,213.572,4233.487
49,65.293320,14.378628,626.823,628.922,0.06904242,213.565,4232.556
50,65.405016,14.287779,639.938,642.082,0.06902950,213.557,4231.616
51,65.516637,14.195819,653.057,655.244,0.06901663,213.550,4230.680
52,65.628182,14.102747,666.177,668.408,0.06900384,213.542,4229.748
53,65.739650,14.008559,679.301,681.576,0.06899111,213.535,4228.821
54,65.851041,13.913254,692.427,694.746,0.06897858,213.527,4227.906
55,65.962354,13.816829,705.555,707.918,0.06896592,213.520,4226.983
56,66.073589,13.719282,718.686,721.093,0.06895334,213.513,4226.065
57,66.184746,13.620609,731.820,734.271,0.06894081,213.505,4225.151
58,66.295825,13.520809,744.956,747.450,0.06892835,213.498,4224.242
59,66.406824,13.419878,758.093,760.632,0.06891596,213.490,4223.336
60,66.517743,13.317814,771.233,773.816,0.06890365,213.483,4222.438
61,66.628582,13.214614,784.376,787.002,0.06889133,213.476,4221.537
62,66.739340,13.110275,797.520,800.190,0.06887902,213.468,4220.640
63,66.850018,13.004795,810.665,813.380,0.06886683,213.461,4219.750
64,66.960614,12.898170,823.813,826.572,0.06885472,213.454,4218.864
65,67.071128,12.790397,836.963,839.765,0.06884268,213.447,4217.984
66,67.181559,12.681474,850.114,852.961,0.06883056,213.440,4217.100
67,67.291908,12.571397,863.266,866.157,0.06881858,213.433,4216.226
68,67.402174,12.460163,876.420,879.355,0.06880662,213.425,4215.353
69,67.512356,12.347769,889.575,892.554,0.06879477,213.418,4214.487
70,67.622455,12.234212,902.732,905.755,0.06878300,213.411,4213.628
71,67.732468,12.119488,915.889,918.956,0.06877115,213.404,4212.766
72,67.842397,12.003594,929.048,932.159,0.06875938,213.398,4211.908
73,67.952241,11.886527,942.207,945.363,0.06874768,213.391,4211.058
74,68.061999,11.768284,955.368,958.567,0.06873611,213.384,4210.215
75,68.171671,11.648859,968.529,971.772,0.06872435,213.377,4209.361
76,68.281257,11.528251,981.690,984.978,0.06871285,213.371,4208.525
77,68.390755,11.406455,994.853,998.184,0.06870148,213.364,4207.700
78,68.500167,11.283468,1008.015,1011.391,0.06868990,213.357,4206.861
79,68.609491,11.159286,1021.178,1024.598,0.06867855,213.351,4206.038
80,68.718728,11.033905,1034.341,1037.805,0.06866725,213.345,4205.219
81,68.827876,10.907320,1047.505,1051.013,0.06865589,213.338,4204.399
82,68.936935,10.779529,1060.668,1064.220,0.06864460,213.332,4203.584
83,69.045906,10.650526,1073.831,1077.427,0.06863330,213.326,4202.771
84,69.154788,10.520309,1086.994,1090.634,0.06862208,213.320,4201.964
85,69.263580,10.388872,1100.156,1103.841,0.06861100,213.314,4201.167
86,69.372282,10.256211,1113.319,1117.047,0.06860003,213.308,4200.377
87,69.480894,10.122322,1126.480,1130.253,0.06858894,213.302,4199.583
88,69.589416,9.987200,1139.641,1143.458,0.06857799,213.296,4198.799
89,69.697848,9.850841,1152.801,1156.662,0.06856697,213.290,4198.012
90,69.806188,9.713240,1165.961,1169.865,0.06855601,213.285,4197.231
91,69.914438,9.574392,1179.119,1183.068,0.06854519,213.279,4196.461
92,70.022596,9.434293,1192.276,1196.269,0.06853438,213.274,4195.692
93,70.130663,9.292937,1205.432,1209.469,0.06852370,213.268,4194.933
94,70.238639,9.150319,1218.587,1222.668,0.06851288,213.263,4194.168
95,70.346522,9.006435,1231.741,1235.866,0.06850220,213.258,4193.414
96,70.454313,8.861279,1244.893,1249.062,0.06849158,213.253,4192.665
97,70.562013,8.714846,1258.043,1262.256,0.06848083,213.248,4191.911
98,70.669620,8.567130,1271.192,1275.449,0.06847030,213.243,4191.171
99,70.777135,8.418125,1284.339,1288.640,0.06845981,213.239,4190.437
100,70.884557,8.267826,1297.484,1301.829,0.06844921,213.234,4189.698
101,70.991887,8.116227,1310.627,1315.016,0.06843900,213.230,4188.985
102,71.099125,7.963323,1323.768,1328.201,0.06842852,213.225,4188.258
103,71.206269,7.809106,1336.907,1341.384,0.06841798,213.221,4187.529
104,71.313321,7.653571,1350.044,1354.565,0.06840778,213.217,4186.824
105,71.420281,7.496711,1363.178,1367.743,0.06839751,213.213,4186.116
106,71.527148,7.338520,1376.310,1380.919,0.06838711,213.209,4185.403
107,71.633922,7.178991,1389.439,1394.092,0.06837684,213.205,4184.701
108,71.740604,7.018118,1402.566,1407.263,0.06836683,213.202,4184.017
109,71.847193,6.855893,1415.690,1420.431,0.06835656,213.198,4183.320
110,71.953690,6.692309,1428.811,1433.596,0.06834649,213.195,4182.637
111,72.060095,6.527359,1441.929,1446.758,0.06833643,213.191,4181.958
112,72.166408,6.361035,1455.044,1459.917,0.06832643,213.188,4181.283
113,72.272629,6.193330,1468.157,1473.073,0.06831631,213.185,4180.606
114,72.378758,6.024236,1481.266,1486.226,0.06830637,213.182,4179.940
115,72.484795,5.853745,1494.372,1499.376,0.06829644,213.180,4179.279
